,votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips
0,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2013
1,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2016
2,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2020
3,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2050
4,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2060
5,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2068
6,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2070
7,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2090
8,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2100
9,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2105
10,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2110
11,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2122
12,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2130
13,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2150
14,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2164
15,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2170
16,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2180
17,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2185
18,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2188
19,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2195
20,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2198
21,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2220
22,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2230
23,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2240
24,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2261
25,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2270
26,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2275
27,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2282
28,93003.0,130413.0,246588.0,0.37715947248,0.528870018006,"37,410",15.17%,AK,Alaska,2290
29,5908.0,18110.0,24661.0,0.239568549532,0.734357893029,"12,202",49.48%,AL,Autauga County,1001
30,18409.0,72780.0,94090.0,0.195653098098,0.773514719949,"54,371",57.79%,AL,Baldwin County,1003
31,4848.0,5431.0,10390.0,0.466602502406,0.522714148219,583,5.61%,AL,Barbour County,1005
32,1874.0,6733.0,8748.0,0.214220393233,0.769661636946,"4,859",55.54%,AL,Bibb County,1007
33,2150.0,22808.0,25384.0,0.0846990230066,0.89851875197,"20,658",81.38%,AL,Blount County,1009
34,3530.0,1139.0,4701.0,0.750904062965,0.242288874708,"2,391",50.86%,AL,Bullock County,1011
35,3716.0,4891.0,8685.0,0.427864133564,0.563154864709,"1,175",13.53%,AL,Butler County,1013
36,13197.0,32803.0,47376.0,0.278558763931,0.692396994259,"19,606",41.38%,AL,Calhoun County,1015
37,5763.0,7803.0,13778.0,0.418275511685,0.566337639715,"2,040",14.81%,AL,Chambers County,1017
38,1524.0,8809.0,10503.0,0.1451013996,0.838712748738,"7,285",69.36%,AL,Cherokee County,1019
39,2909.0,15068.0,18255.0,0.159353601753,0.825417693783,"12,159",66.61%,AL,Chilton County,1021
40,3109.0,4102.0,7268.0,0.427765547606,0.564391854706,993,13.66%,AL,Choctaw County,1023
41,5712.0,7109.0,12936.0,0.441558441558,0.549551638837,"1,397",10.80%,AL,Clarke County,1025
42,1234.0,5230.0,6572.0,0.187766281193,0.795800365186,"3,996",60.80%,AL,Clay County,1027
43,684.0,5738.0,6532.0,0.10471524801,0.878444580527,"5,054",77.37%,AL,Cleburne County,1029
44,4194.0,15825.0,20513.0,0.204455711013,0.771461999708,"11,631",56.70%,AL,Coffee County,1031
45,7296.0,16718.0,24626.0,0.2962722326,0.678875984732,"9,422",38.26%,AL,Colbert County,1033
46,3069.0,3413.0,6543.0,0.469050894085,0.521626165368,344,5.26%,AL,Conecuh County,1035
47,1780.0,3376.0,5223.0,0.340800306337,0.646371816963,"1,596",30.56%,AL,Coosa County,1037
48,2379.0,13222.0,15818.0,0.15039828044,0.835883171071,"10,843",68.55%,AL,Covington County,1039
49,1663.0,4511.0,6252.0,0.265994881638,0.721529110685,"2,848",45.55%,AL,Crenshaw County,1041
50,3730.0,32734.0,37278.0,0.100059016042,0.878105048554,"29,004",77.80%,AL,Cullman County,1043
51,4408.0,13798.0,18617.0,0.236772842026,0.741150561315,"9,390",50.44%,AL,Dale County,1045
52,12826.0,5784.0,18730.0,0.684783769354,0.30880939669,"7,042",37.60%,AL,Dallas County,1047
53,3682.0,21779.0,26086.0,0.141148508779,0.834892279384,"18,097",69.37%,AL,DeKalb County,1049
54,8436.0,27619.0,36905.0,0.228586912343,0.748380978187,"19,183",51.98%,AL,Elmore County,1051
55,4698.0,10282.0,15213.0,0.308814829422,0.67586932229,"5,584",36.71%,AL,Escambia County,1053
56,10350.0,32132.0,43474.0,0.238073331186,0.739108432626,"21,782",50.10%,AL,Etowah County,1055
57,1358.0,6705.0,8196.0,0.165690580771,0.818081991215,"5,347",65.24%,AL,Fayette County,1057
58,2197.0,9466.0,11955.0,0.183772480134,0.791802593057,"7,269",60.80%,AL,Franklin County,1059
59,1522.0,9967.0,11659.0,0.13054292821,0.854876061412,"8,445",72.43%,AL,Geneva County,1061
60,4006.0,838.0,4862.0,0.823940765117,0.17235705471,"3,168",65.16%,AL,Greene County,1063
61,4772.0,3172.0,8010.0,0.595755305868,0.396004993758,"1,600",19.98%,AL,Hale County,1065
62,2286.0,5623.0,8017.0,0.285144068854,0.701384557815,"3,337",41.62%,AL,Henry County,1067
63,10547.0,30567.0,42030.0,0.250939804901,0.727266238401,"20,020",47.63%,AL,Houston County,1069
64,3663.0,16643.0,20785.0,0.176232860236,0.800721674284,"12,980",62.45%,AL,Jackson County,1071
65,151581.0,130614.0,290111.0,0.522493114704,0.450220777564,"20,967",7.23%,AL,Jefferson County,1073
66,1035.0,5819.0,6931.0,0.14932910114,0.839561390853,"4,784",69.02%,AL,Lamar County,1075
67,9877.0,27735.0,38813.0,0.254476592894,0.714580166439,"17,858",46.01%,AL,Lauderdale County,1077
68,3611.0,10732.0,14623.0,0.246939752445,0.733912329891,"7,121",48.70%,AL,Lawrence County,1079
69,20987.0,34321.0,57668.0,0.363928001665,0.595148089062,"13,334",23.12%,AL,Lee County,1081
70,9340.0,28824.0,39400.0,0.237055837563,0.731573604061,"19,484",49.45%,AL,Limestone County,1083
71,4882.0,1751.0,6676.0,0.731276213301,0.262282804074,"3,131",46.90%,AL,Lowndes County,1085
72,7237.0,1394.0,8748.0,0.82727480567,0.159350708733,"5,843",66.79%,AL,Macon County,1087
73,62435.0,89199.0,159473.0,0.391508280399,0.559336063158,"26,764",16.78%,AL,Madison County,1089
74,5607.0,5224.0,10948.0,0.512148337596,0.477164778955,383,3.50%,AL,Marengo County,1091
75,1432.0,11273.0,12912.0,0.110904584882,0.873063816605,"9,841",76.22%,AL,Marion County,1093
76,4913.0,29217.0,34965.0,0.140511940512,0.835607035607,"24,304",69.51%,AL,Marshall County,1095
77,68429.0,91087.0,163387.0,0.418815450434,0.557492334151,"22,658",13.87%,AL,Mobile County,1097
78,4310.0,5771.0,10185.0,0.423171330388,0.566617574865,"1,461",14.34%,AL,Monroe County,1099
79,58669.0,33928.0,94572.0,0.620363321068,0.358753119316,"24,741",26.16%,AL,Montgomery County,1101
80,11216.0,37392.0,49991.0,0.224360384869,0.747974635434,"26,176",52.36%,AL,Morgan County,1103
81,3823.0,1403.0,5255.0,0.727497621313,0.266983824929,"2,420",46.05%,AL,Perry County,1105
82,3972.0,5454.0,9494.0,0.418369496524,0.574468085106,"1,482",15.61%,AL,Pickens County,1107
83,5039.0,7681.0,13025.0,0.386871401152,0.589712092131,"2,642",20.28%,AL,Pike County,1109
84,2290.0,7697.0,10130.0,0.226061204344,0.75982230997,"5,407",53.38%,AL,Randolph County,1111
85,9577.0,9210.0,19136.0,0.500470317726,0.48129180602,367,1.92%,AL,Russell County,1113
86,22927.0,72846.0,99208.0,0.231100314491,0.734275461656,"49,919",50.32%,AL,Shelby County,1117
87,5550.0,31579.0,37937.0,0.146295173577,0.832406357909,"26,029",68.61%,AL,St. Clair County,1115
88,4739.0,1581.0,6391.0,0.741511500548,0.247379126897,"3,158",49.41%,AL,Sumter County,1119
89,12108.0,20596.0,33218.0,0.364501174062,0.620025287495,"8,488",25.55%,AL,Talladega County,1121
90,5271.0,12967.0,18504.0,0.284857328145,0.700767401643,"7,696",41.59%,AL,Tallapoosa County,1123
91,31746.0,47701.0,81708.0,0.388529886914,0.583798404073,"15,955",19.53%,AL,Tuscaloosa County,1125
